MRKTTAG,PRDCTAG,SALESUNITS,SALESUNITS.OLD,SALESUNITS192OZEQUCASEBASIS,SALESUNITS192OZEQUCASEBASIS,AVERAGERETAILPRICE,pcACV,TOTALBASELINEUNITS,TOTALBASELINEdollars,NOPROMOPRICE,ANYFEATUREpcACV,ANYDISPLAYpcACV,ANYFETandDSPpcACV,ANYFETWODSPpcACV,ANYDSPWOFETpcACV,PRICEDECRUNITS,PRICEDECRPRICE,PRICEDECRpcACV,ANYFTDISCUMpcAC,WeekendingDate,WeekNumber
MRKT1,PRDT1,45.21505376,4205,3154,18167,4.32,93,4093,18342,4.52,0,24,0,0,24,781,3.96,17,0,20131109,44
MRKT1,PRDT1,46.11702128,4335,3251,18840,4.35,94,4525,20348,4.48,0,27,0,0,27,901,4.03,18,0,20131116,45
MRKT1,PRDT1,45.35106383,4263,3197,18475,4.33,94,6204,26760,4.5,0,34,0,0,34,544,3.85,20,0,20131123,46
MRKT1,PRDT1,49.92708333,4793,3595,20756,4.33,96,4731,21051,4.45,0,38,0,0,38,652,4.12,11,0,20131130,47
MRKT1,PRDT1,47.09473684,4474,3356,19241,4.3,95,6626,26401,4.39,0,42,0,0,42,0,0,0,0,20131207,48
MRKT1,PRDT1,46.38709677,4314,3236,18398,4.26,93,3951,17747,4.51,0,42,0,0,42,683,4.17,10,0,20131214,49
MRKT1,PRDT1,46.74468085,4394,3296,18982,4.32,94,5547,25435,4.62,0,37,0,0,37,518,4.21,8,0,20131221,50
MRKT1,PRDT1,64.86597938,6292,4719,27363,4.35,97,4584,20154,4.56,0,40,0,0,40,915,4.13,7,0,20131228,51
MRKT1,PRDT1,51.59574468,4850,3638,20825,4.29,94,4468,19743,4.74,0,36,0,0,36,1278,3.92,14,0,20140104,52
MRKT1,PRDT1,45.21875,4341,3256,19472,4.49,96,4592,21376,4.6,0,34,0,0,34,1071,4.15,19,0,20140111,1
MRKT1,PRDT1,44.84042553,4215,3161,19563,4.64,94,3905,18683,4.91,0,31,0,0,31,677,4.04,13,0,20140118,2
MRKT1,PRDT1,41.40425532,3892,2919,18238,4.69,94,4495,21381,4.79,0,42,0,0,42,89,4.82,2,0,20140125,3
MRKT1,PRDT1,47.71578947,4533,3400,21308,4.7,95,3990,18948,4.8,0,35,0,0,35,324,4.32,7,0,20140201,4
MRKT1,PRDT1,43.96842105,4177,3133,19417,4.65,95,4152,19850,4.89,0,34,0,0,34,359,4.43,6,0,20140208,5
MRKT1,PRDT1,52.88421053,5024,3768,23272,4.63,95,3473,16515,4.81,0,32,0,0,32,470,4.28,10,0,20140215,6
MRKT1,PRDT1,51.24742268,4971,3728,22653,4.56,97,4688,22213,4.75,0,28,0,0,28,824,4.12,9,0,20140222,7
MRKT1,PRDT1,46.84375,4497,3373,20637,4.59,96,4103,19010,4.72,0,26,0,0,26,555,4.31,6,0,20140301,8
MRKT1,PRDT1,45.17894737,4292,3219,19855,4.63,95,4145,19836,4.85,0,28,0,0,28,819,4.27,10,0,20140308,9
MRKT1,PRDT1,45.08333333,4328,3246,20466,4.73,96,3738,18000,4.9,0,30,0,0,30,665,4.38,16,0,20140315,10
MRKT1,PRDT1,42.89247312,3989,2992,18882,4.73,93,4182,20189,4.92,0,30,0,0,30,443,4.36,7,0,20140322,11
MRKT1,PRDT1,41.69892473,3878,2909,18271,4.71,93,4393,21055,4.88,0,39,0,0,39,708,4.32,13,0,20140329,12
MRKT1,PRDT1,49.31578947,4685,3514,22039,4.7,95,4031,19372,4.81,0,43,0,0,43,210,4.34,6,0,20140405,13
MRKT1,PRDT1,46.10526316,4380,3285,20663,4.72,95,4156,20107,4.9,0,43,0,0,43,552,4.46,9,0,20140412,14
MRKT1,PRDT1,42.82105263,4068,3051,19098,4.69,95,4188,20348,4.88,0,46,0,0,46,744,4.4,13,0,20140419,15
MRKT1,PRDT1,49.22340426,4627,3470,21718,4.69,94,4097,19946,4.78,0,37,0,0,37,564,4.34,11,0,20140426,16
MRKT1,PRDT1,50.49473684,4797,3598,21553,4.49,95,4309,20029,4.65,0,36,0,0,36,314,4.32,8,0,20140503,17
MRKT1,PRDT1,52.92708333,5081,3811,23538,4.63,96,4205,20294,4.87,0,45,0,0,45,923,4.35,16,0,20140510,18
MRKT1,PRDT1,46.96842105,4462,3347,20846,4.67,95,3972,19728,4.86,0,45,0,0,45,1130,4.7,23,0,20140517,19
MRKT1,PRDT1,47.07291667,4519,3389,21122,4.67,96,4428,21733,4.83,0,52,0,0,52,1076,4.68,23,0,20140524,20
MRKT1,PRDT1,47.26595745,4443,3332,20612,4.64,94,4472,21970,4.79,0,51,0,0,51,1005,4.66,19,0,20140531,21
MRKT1,PRDT1,50.95789474,4841,3631,22491,4.65,95,4589,22951,4.96,0,44,0,0,44,979,4.73,18,0,20140607,22
MRKT1,PRDT1,48.9893617,4605,3454,21344,4.64,94,3885,19123,4.9,0,47,0,0,47,1141,4.56,16,0,20140614,23
MRKT1,PRDT1,51.72916667,4966,3725,22900,4.61,96,3952,19875,4.95,0,53,0,0,53,1128,4.69,15,0,20140621,24
MRKT1,PRDT1,47.86458333,4595,3446,21280,4.63,96,3925,20064,4.99,0,48,0,0,48,1230,4.77,26,0,20140628,25
MRKT1,PRDT1,50.66666667,4864,3648,22550,4.64,96,4361,21629,4.89,0,49,0,0,49,661,4.49,9,0,20140705,26
MRKT1,PRDT1,48.27956989,4490,3368,20839,4.64,93,3738,18370,4.86,0,43,0,0,43,992,4.6,19,0,20140712,27
